"Class Name","HasTC","#Bugs","#Blocker","#Critical","#Major","#Normal","#Minor","#Trivial","WMC","CBO","RFC","Ca","Ce","LOC","Qi","Si","FANIN","d(LOC,FANIN)","d(Qi,FANIN)","d(WMC,FANIN)","d( WMC,CBO)","d(Qi,CBO)","d(LOC, CBO)","d(LOC, Ce)","d(LOC, Ca)","d(WMC, Ce)","d(WMC, Ca)","Risk1","TLOC"
"org.apache.tools.ant.AntClassLoader","0","4","0","0","1","3","0","0","17","9","64","7","2","713","0.770333270029058","0.331622672070807","11","127","127.609","158003.1645252715","154012.9864654276","122634.1118546796","122000.2161752464","1480000.017819867","19001.3880231644","1482982.130708256","95900.99061010788","13",""
"org.apache.tools.ant.BuildEvent","0","0","0","0","0","0","0","0","11","7","15","5","3","97","0.881918528631835","4.99381473880203","6","132","132.23","163217.6461048253","196104.5639448506","171177.471744228","171000.0407696849","2096000.003326153","18000.38730788536","2098197.321511969","97672.92357659823","0",""
"org.apache.tools.ant.BuildException","0","0","0","0","0","0","0","0","14","99","28","98","1","153","0.819040353572954","10.6160226712381","138","0.181","2.171","4000","158050.6248010428","158014.9082191114","158000.103627794","2040000.008026077","20000.81864308647","2040003.921564858","20396.07805437114","0",""
"org.apache.tools.ant.BuildListener","0","0","0","0","0","0","0","0","7","6","7","5","1","7","1","0","0","138","138.591","168680.1707374047","203592.7307150233","179456.1117410638","179000","2186000","20000","2188151.045974661","99040.39579888602","0",""
"org.apache.tools.ant.BuildLogger","0","0","0","0","0","0","0","0","4","3","4","2","1","4","1","0","1","137","137.595","169614.2682677374","207663.1888419322","182448.6120561655","182000","2189000","20000","2191282.957538802","101980.3902718557","0",""
"org.apache.tools.ant.Constants","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","138","138.591","172200.4645754477","212614.6749403719","186438.9874495707","186000","2193000","21000","2195417.500158","105118.9802081432","0",""
"org.apache.tools.ant.DefaultLogger","0","2","0","0","0","2","0","0","14","8","32","4","4","257","0.776190958461638","0.336734693881226","4","134","134.577","164258.9419179364","180944.7429465692","154502.4209413123","154000.1626313657","1936000.012936593","17001.47318578817","1938329.435364381","96509.06693155829","6",""
"org.apache.tools.ant.DesirableFilter","0","0","0","0","0","0","0","0","2","0","6","0","0","45","0.916666666666666","0.0816326530621154","0","138","138.584","172200.4645754477","207386.1133248801","180447.8182299803","180000.0192901224","2148000.001616491","21000.16534326443","2150468.088579786","105118.9802081432","0",""
"org.apache.tools.ant.DirectoryScanner","0","2","1","0","0","1","0","0","23","22","51","20","2","1407","0.21806263504673","2.47959864574477","24","114.003","114.465","139846.34424968","157435.7011608231","135392.8853063182","135002.2645219061","786000.3889477681","19016.08335180276","790162.6414859159","83198.55767980596","9",""
"org.apache.tools.ant.FileScanner","0","0","0","0","0","0","0","0","13","4","13","4","0","13","1","0","2","136","136.6","168217.1216018156","199323.8570768688","173471.8883312832","173000","2180000","21000","2182246.777979063","101202.766760598","0",""
"org.apache.tools.ant.IntrospectionHelper","1","2","0","0","1","1","0","0","14","24","63","20","20","822","0.753316677618561","2.22739263571929","4","134","134.415","155553.8491969903","146184.8145328372","123452.403594062","123000.2473682941","1371000.022192801","1029.977019909253","1373274.189664977","79006.32886041472","7","330"
"org.apache.tools.ant.Location","0","0","0","0","0","0","0","0","5","51","10","51","0","69","0.948672824435764","0.190306122451147","5","133","133.595","142804.0615668896","183521.1159512714","176450.1786268793","176000.007484315","2124000.000620169","21000.06272559564","2124636.439487942","56080.29957123981","0",""
"org.apache.tools.ant.Main","0","1","0","0","0","1","0","0","14","7","82","0","7","1253","0.923298003273448","0.362749235560841","1","137","137.562","167287.1782295344","141534.448103633","104739.4433851813","104000.0282845937","940000.0031293597","14000.21011257695","944889.4115186179","97015.46268507923","3",""
"org.apache.tools.ant.NoBannerLogger","0","0","0","0","0","0","0","0","4","3","16","0","3","59","0.87371065864633","0.0102040816345834","1","137","137.594","169614.2682677374","197230.8292331602","170479.4274837891","170000.0469088104","2134000.003736879","18000.44302226308","2136341.732963151","101607.0863670443","0",""
"org.apache.tools.ant.PathTokenizer","0","0","0","0","0","0","0","0","3","2","15","2","0","100","0.888219762731481","0.757480549920728","2","136","136.531","169401.8890095385","198600.100704909","171422.5734303139","171000.0365345617","2093000.002984907","21000.29749364146","2095435.515590972","103160.0697944704","0",""
"org.apache.tools.ant.Project","1","3","0","0","1","2","0","0","71","103","186","99","7","2193","0.248779012423431","4.0224377402701","90","48.006","48.794","48000","0","8764.1193108356","751.220987576569","751.220987576569","14020.14026221477","0","14000","10","20"
"org.apache.tools.ant.ProjectHelper","0","5","0","1","1","2","1","0","17","19","73","13","7","502","0.490038768529584","0.224489795920817","8","130.001","130.606","154777.2593115668","140801.2784032872","113696.1104599616","113001.1507041305","1691000.076895462","14009.28479464968","1693085.053976911","85158.67542417508","17",""
"org.apache.tools.ant.RuntimeConfigurable","0","2","0","0","1","1","0","0","9","8","25","5","3","114","0.910062774570771","0.194173929143289","5","133","133.595","163444.1800738099","186938.4925583813","161491.6967298638","161000.0251201984","2079000.001945335","18000.22468483429","2081169.382823032","96690.22701390251","7",""
"org.apache.tools.ant.Target","0","0","0","0","0","0","0","0","19","18","47","16","5","273","0.819221888531908","0.537850637965675","10","128","128.585","153652.2046701576","162929.4325774199","139538.635541542","139000.1175565171","1920000.008510605","16001.02124008296","1921880.589422766","86492.77426467485","0",""
"org.apache.tools.ant.Task","0","0","0","0","0","0","0","0","19","78","23","75","5","125","0.802623224242079","5.25897947594421","103","35.001","35.8","43011.62633521314","164906.0338495836","163173.7246745017","163000.1195017709","2068000.009419147","16001.21737842495","2068151.106665081","29681.64415931166","0",""
"org.apache.tools.ant.TaskAdapter","0","0","0","0","0","0","0","0","4","6","15","4","2","82","0.943021749345658","0.0835329170586192","5","133","133.605","164614.70165207","196596.032513375","171471.1836494698","171000.0094927513","2111000.000768953","19000.08543457233","2113227.389563177","98843.31034521255","0",""
"org.apache.tools.ant.taskdefs.Ant","1","2","0","0","0","2","0","0","10","9","70","1","8","440","0.706882086281755","0.297321013720647","4","134","134.581","163682.619724881","149305.0568467123","116670.3947743279","116000.3703360957","1753000.024506021","13003.30412285057","1755518.441942437","94894.67845985886","6","26"
"org.apache.tools.ant.taskdefs.AntStructure","1","2","0","1","0","1","0","0","8","6","55","0","6","643","0.979275173611111","0.0818451530631136","2","136","136.592","167047.8973228936","163003.0674557997","131614.625723786","131000.0016393833","1550000.000138554","15000.01431727413","1553032.195416438","98152.94188153507","8","11"
"org.apache.tools.ant.taskdefs.Available","1","1","0","0","0","1","0","0","13","7","35","0","7","273","0.727078195524181","0.184815604827235","3","135","135.587","165653.2523073423","178932.948335403","151524.9282708256","151000.2466432137","1920000.019397477","14002.65997271084","1922398.501872075","97015.46268507923","3","62"
"org.apache.tools.ant.taskdefs.CallTarget","0","0","0","0","0","0","0","0","5","7","20","0","7","76","0.647949199997831","0.0102040816345834","0","138","138.59","168107.1087134628","191760.2670002313","166490.9462859783","166000.3733121278","2117000.0292725","14004.42572067067","2119175.547235292","97015.46268507923","0",""
"org.apache.tools.ant.taskdefs.Chmod","0","1","0","0","0","1","0","0","14","10","43","0","10","168","0.50254837737739","0","5","133.001","133.613","162289.8641320523","170581.3588877753","143570.5263667344","143000.8652355532","2025000.061100769","11011.24235119952","2027134.43066808","93648.27814754524","3",""
"org.apache.tools.ant.taskdefs.compilers.CompilerAdapter","0","0","0","0","0","0","0","0","2","4","2","3","2","2","1","0","1","137","137.595","169026.6251216062","208942.5758432206","184443.747633855","184000","2191000","19000","2193235.50946997","100806.7458060223","0",""
"org.apache.tools.ant.taskdefs.compilers.CompilerAdapterFactory","0","1","0","0","0","1","0","0","3","8","16","1","7","125","0.9575386188378719","0.0102040816345834","2","136","136.599","165894.5448168806","194743.4209415045","170479.4274837891","170000.0053028496","2068000.000435921","14000.064391598","2070180.909968981","96026.03813549739","3",""
"org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter","0","3","0","0","0","3","0","0","10","17","81","4","13","743","0.350155474376001","0.255102040817291","5","133.002","133.589","158382.4485225557","135723.9846158371","105745.1529133836","105002.0109231603","1450000.145619961","8026.350223325885","1452548.105915945","86371.29152675673","9",""
"org.apache.tools.ant.taskdefs.compilers.Javac12","0","0","0","0","0","0","0","0","3","8","18","1","7","132","0.583212214344765","0","0","138.001","138.591","167538.0553784721","193000","168485.8927068411","168000.5169993779","2061000.042142663","14006.20262805988","2063188.309389136","96026.03813549739","0",""
"org.apache.tools.ant.taskdefs.compilers.Javac13","0","0","0","0","0","0","0","0","2","8","17","1","7","97","0.588745661076812","0","0","138.001","138.591","167538.0553784721","193871.0911920599","169483.0258203493","169000.500384263","2096000.040345928","14006.03905932306","2098151.805756676","96026.03813549739","0",""
"org.apache.tools.ant.taskdefs.compilers.Jikes","0","0","0","0","0","0","0","0","2","9","23","1","8","204","0.422305765445527","0","0","138.001","138.591","166973.0517179344","188162.1641032012","163500.7524179053","163001.0237103701","1989000.083894073","13012.82946282773","1991219.977802553","94894.67845985886","0",""
"org.apache.tools.ant.taskdefs.compilers.Jvc","0","1","0","0","0","1","0","0","2","9","19","1","8","120","0.504306281242657","0","0","138.001","138.591","166973.0517179344","191637.678967368","167488.7937780351","167000.7356638372","2073000.059264896","13009.44703908723","2075130.116402342","94894.67845985886","3",""
"org.apache.tools.ant.taskdefs.CompileTask","0","0","0","0","0","0","0","0","4","5","21","0","5","87","0.82401592660108","0.0204081632655288","0","138","138.589","169257.2007330855","191908.8325221119","165493.125408358","165000.0938496524","2106000.007352895","16000.96779554568","2108278.918928897","99297.53269845128","0",""
"org.apache.tools.ant.taskdefs.Copy","0","2","0","0","0","2","0","0","17","12","64","1","11","642","0.623233566187681","0.133210910278648","4","134.001","134.596","161978.3936208777","152200.5256232711","122654.4217244514","122000.5817729803","1551000.045761748","10007.09513023873","1553667.274547546","91547.80172128658","6",""
"org.apache.tools.ant.taskdefs.Copydir","1","0","0","0","0","0","0","0","8","6","35","0","6","265","0.939105174425013","0.112457397961406","2","136","136.589","167047.8973228936","179471.4461968812","151530.9631792058","151000.0122787405","1928000.000961665","15000.12360548345","1930438.551210579","98152.94188153507","0","30"
"org.apache.tools.ant.taskdefs.Copyfile","1","0","0","0","0","0","0","0","6","4","21","0","4","136","0.896497177071801","0.0306122449001122","2","136","136.597","168217.1216018156","192421.4125298949","165492.3385776482","165000.0324631312","2057000.002603995","17000.31508044348","2059380.974953396","100448.9920307815","0","29"
"org.apache.tools.ant.taskdefs.Cvs","0","1","0","0","0","1","0","0","12","12","37","0","12","310","0.639831097269587","0.102040816327644","2","136","136.59","163636.7929287298","174590.9505100422","149538.9479437058","149000.4353068759","1883000.034445469","9007.203874593604","1885197.602374881","91443.97191723465","3",""
"org.apache.tools.ant.taskdefs.Delete","1","0","0","0","0","0","0","0","18","8","49","0","8","579","0.461076459871473","0.0714285714311699","6","132.001","132.611","162631.4852665375","166715.326230074","137588.7876691071","137001.0599907245","1614000.089974775","13011.16591939802","1616793.431456226","95885.34820294495","0","17"
"org.apache.tools.ant.taskdefs.Deltree","1","0","0","0","0","0","0","0","4","3","17","0","3","152","0.933695905715232","0.0102040816345834","3","135","135.603","168002.9761641144","196369.5495742657","169482.2562842509","169000.0130066058","2041000.00107698","18000.12211716684","2043448.31106637","101607.0863670443","0","14"
"org.apache.tools.ant.taskdefs.Echo","1","0","0","0","0","0","0","0","7","7","22","0","7","147","0.842681717076747","0.0306122449001122","2","136","136.597","166469.2163734785","190031.5763235152","164495.3316294993","164000.0754543794","2046000.006048153","14000.8838664615","2048250.961186153","97015.46268507923","0","23"
"org.apache.tools.ant.taskdefs.Exec","0","0","0","0","0","0","0","0","10","5","41","1","5","360","0.722340280534122","0.0612244897965865","4","134","134.603","166012.0477555771","175011.4281982751","145557.3223468882","145000.2658443074","1833000.021029711","16002.4090348864","1835617.879625278","99297.53269845128","0",""
"org.apache.tools.ant.taskdefs.ExecTask","0","2","0","0","0","2","0","0","19","18","56","5","13","406","0.455946544251828","0.112669895808721","8","130.001","130.616","155322.2456700907","155322.2456700907","130616.3367103258","130001.1384341026","1787000.082818734","8018.478294708511","1789020.402343137","85375.64055396598","6",""
"org.apache.tools.ant.taskdefs.Execute","0","3","0","0","1","1","1","0","21","25","77","10","16","566","0.628597224693189","1.15597410805639","18","120.001","120.562","143122.3253025188","134033.577882559","109618.7504927654","109000.6327505557","1627000.04239091","5013.775027013638","1628868.625764521","78160.09211867653","9",""
"org.apache.tools.ant.taskdefs.ExecuteJava","0","0","0","0","0","0","0","0","6","7","26","1","6","185","0.889467839723559","0.256718808812365","1","137","137.572","167287.1782295344","186590.4606350496","160489.8652450616","160000.0381792406","2008000.003042171","15000.40723975371","2010293.510908295","97164.80844420988","0",""
"org.apache.tools.ant.taskdefs.ExecuteOn","0","4","0","0","0","4","0","0","11","14","42","2","12","395","0.778837814489545","0.0560953725616855","4","134","134.603","160863.2960000509","169283.7854019103","144561.6292608411","144000.1698357064","1798000.013601978","9002.716962800718","1800201.377624181","89453.89874119518","12",""
"org.apache.tools.ant.taskdefs.ExecuteStreamHandler","0","0","0","0","0","0","0","0","5","10","5","10","0","5","1","0","1","137","137.595","165583.8156342582","203494.4716693797","181451.0844310973","181000","2188000","21000","2189975.570640001","95341.49149242422","0",""
"org.apache.tools.ant.taskdefs.ExecuteWatchdog","1","1","0","0","0","1","0","0","8","6","25","5","1","169","0.838935818801002","0.286332015068182","3","135","135.577","166234.77373883","187962.7622695517","161484.5368013656","161000.0805641738","2024000.006408515","20000.64853124681","2026323.024594055","99040.39579888602","3","98"
"org.apache.tools.ant.taskdefs.Exit","0","0","0","0","0","0","0","0","3","2","6","0","2","29","0.979275173611111","0.0102040816345834","2","136","136.599","169401.8890095385","206400.0968992021","180452.8614214818","180000.0011931068","2164000.000099242","19000.01130311319","2166355.695632645","102771.5914054074","0",""
"org.apache.tools.ant.taskdefs.Expand","0","3","1","0","0","2","0","0","5","8","45","0","8","261","0.654055607025101","0.0204081632655288","3","135","135.602","165075.7401921918","170017.6461429813","141576.7444089124","141000.4243877409","1932000.030972444","13004.6021670419","1934334.252397967","95885.34820294495","12",""
"org.apache.tools.ant.taskdefs.Filter","1","0","0","0","0","0","0","0","6","4","24","0","4","153","0.939182404880312","0.046024617347939","3","135","135.6","167409.6771396445","189855.2079875609","162500.2189743006","162000.0114159869","2040000.000906564","17000.10878729534","2042400.793184335","100448.9920307815","0","63"
"org.apache.tools.ant.taskdefs.FixCRLF","0","3","0","0","0","3","0","0","8","7","34","0","7","626","0.410417282938871","0.0408163265310577","2","136.001","136.596","166469.2163734785","179777.6404339538","152533.4517626153","152001.1434423447","1567000.11091505","14012.40906412089","1569937.896860892","97015.46268507923","9",""
"org.apache.tools.ant.taskdefs.GenerateKey","0","1","0","0","0","1","0","0","14","6","33","0","6","404","0.6195009409141859","0.0816326530621154","2","136.001","136.592","167047.8973228936","181157.3901335521","153526.5941260992","153000.4731350004","1789000.040463816","15004.82520837764","1791627.751515364","98152.94188153507","3",""
"org.apache.tools.ant.taskdefs.Get","1","3","0","0","0","3","0","0","8","6","46","0","6","394","0.829848991580171","0.0408163265310577","3","135","135.6","166234.77373883","170320.2865192517","140578.9952539784","140000.1033976963","1799000.008046516","15000.96501448044","1801613.166026492","98152.94188153507","9","32"
"org.apache.tools.ant.taskdefs.GUnzip","1","0","0","0","0","0","0","0","4","4","32","0","4","215","0.91170244104222","0","2","136","136.6","168217.1216018156","183076.4867480256","154529.9195664748","154000.0253131762","1978000.001970793","17000.22930606873","1980475.952896172","100448.9920307815","0","25"
"org.apache.tools.ant.taskdefs.GZip","1","0","0","0","0","0","0","0","6","4","25","0","4","157","0.897755027437029","0.0306122449001122","3","135","135.601","167409.6771396445","189002.6454841307","161504.5328401001","161000.0324659421","2036000.002567297","17000.30746881992","2038405.50430968","100448.9920307815","0","27"
"org.apache.tools.ant.taskdefs.Jar","1","4","0","0","1","3","0","0","6","6","33","1","5","164","0.748721317519922","0.0204081632655288","3","135","135.602","166234.77373883","181157.3901335521","153531.6728151768","153000.2063429206","2029000.01555963","16001.97303385645","2031317.306577187","98310.7318658548","13","30"
"org.apache.tools.ant.taskdefs.Java","0","1","0","0","0","1","0","0","22","17","77","0","17","439","0.188753098431565","0.149003959921174","11","127.003","127.627","153378.6165017797","138841.6364063749","109730.1587902456","109003.01886432","1754000.187605901","4081.436209878133","1756107.058239901","86092.97300012353","3",""
"org.apache.tools.ant.taskdefs.Javac","0","1","0","1","0","0","0","0","42","19","74","7","13","550","0.435520771686491","0.466897003359918","5","133.001","133.569","157305.4353797096","140000","112675.5253978965","112001.4224766775","1643000.096967982","8019.890074009582","1645145.89018725","84380.09243891595","5",""
"org.apache.tools.ant.taskdefs.JavacOutputStream","0","0","0","0","0","0","0","0","4","1","11","0","1","68","0.9717040032209679","0.0204081632655288","1","137","137.594","170801.0538609174","202556.1650505854","175465.0237438405","175000.0022876098","2125000.000188391","20000.02001657583","2127446.59157404","103942.2916814903","0",""
"org.apache.tools.ant.taskdefs.Javadoc","0","5","0","0","0","5","0","0","65","21","155","6","21","1504","0.219372587239379","0.102040816327644","3","135.002","135.595","157952.5245129055","87664.13177577246","33494.73021402543","31009.82713846617","689000.4422198563","780.6274127606209","693862.3782854925","82000","15",""
"org.apache.tools.ant.taskdefs.Jikes","0","0","0","0","0","0","0","0","2","5","29","0","5","176","0.896809895833333","0.102040816327644","0","138","138.582","169257.2007330855","185075.6602041446","157511.5772002501","157000.0339114536","2017000.002639613","16000.3327527148","2019379.360100524","99297.53269845128","0",""
