Class Name,HasT,#Bugs,#BugsBinary,#Blocker,#Critical,#Major,#Normal,#Minor,#Trivial,WMC,CBO,RFC,Ca,Ce,LOC,Qi,FANIN,"d(LOC,FANIN)","d(Qi,FANIN)","d(WMC,FANIN)","d( WMC,CBO)","d(Qi,CBO)","d(LOC, CBO)","d(LOC, Ce)","d(LOC, Ca)","d(WMC, Ce)","d(WMC, Ca)",Risk1,TLOC,"d(RFC,d(LOC, Ce))","d(LOC,d(RFC, Ca))"
org.apache.tools.ant.taskdefs.Manifest,1,5,1,2,0,0,3,0,0,17,7,71,2,5,569,0.583372242,3,3686.741244,294.0002952,303.1699194,200.1799191,186.0004666,3679.703928,3675.122447,3679.908287,79.84985911,203.9019372,21,171,585.8134214,3477.125143
org.apache.tools.ant.taskdefs.Jar,1,6,1,1,1,1,3,0,0,21,15,83,2,13,799,0.319521039,4,3457.43749,293.0007902,301.2457469,191.2694435,178.0013007,3449.595484,3445.070246,3450.235499,73.37574531,202.4845673,24,134,808.5348691,3254.348639
org.apache.tools.ant.taskdefs.Zip,1,5,1,1,1,1,2,0,0,34,25,138,3,22,1740,0.234041895,7,2520.737194,290.0010115,295.5486424,177.4063133,168.0017461,2509.629455,2504.033746,2511.122657,58.46366393,197.4082065,21,49,1738.746575,2324.098928
org.apache.tools.ant.Project,1,5,1,1,0,0,2,2,0,91,157,212,148,17,2452,0.103267924,145,1798.434875,152.0026451,152,36,36.01116672,1792.361571,1792.0904,1792.540097,18,44,16,128,2455.711041,1607.198904
org.apache.tools.ant.taskdefs.SQLExec,1,4,1,1,0,1,1,1,0,18,13,90,1,13,778,0.645021609,5,3478.27831,292.0002158,300.9867107,194.2395428,180.00035,3470.670829,3466.06982,3471.258705,76.24303247,204.4749373,15,132,786.6676068,3276.215405
org.apache.tools.ant.taskdefs.Copy,1,3,1,1,0,1,1,0,0,27,18,87,1,17,919,0.217968946,6,3337.709694,291.0010508,297.9546945,186.3357185,175.0017473,3329.602078,3325.048721,3330.481347,66.48308055,201.4373352,13,71,926.378441,3136.482355
org.apache.tools.ant.taskdefs.Tar,1,2,1,1,0,1,0,0,0,11,17,83,0,17,671,0.855679997,4,3584.993445,293.0000355,303.7252047,193.3287356,176.0000592,3577.332106,3573.04534,3578.154971,82,208,10,74,682.5896273,3380.267443
org.apache.tools.ant.taskdefs.AntStructure,1,2,1,1,0,0,0,1,0,10,7,61,0,7,758,0.908702087,4,3498.291726,293.0000142,303.9901314,202.8718808,186.0000224,3490.958608,3486.112448,3491.283432,85.70297544,208.3866598,8,11,772.0775867,3290.850679
org.apache.tools.ant.taskdefs.Rmic,1,2,1,1,0,0,1,0,0,48,25,108,7,20,816,0.017419949,7,3440.244759,290.0016646,293.1705988,173.4156856,168.0028734,3432.114217,3428.032818,3432.988348,45.54119015,189.9315666,9,54,821.9964014,3240.847457
org.apache.tools.ant.taskdefs.Ant,1,2,1,1,1,0,0,0,0,19,16,117,1,15,849,0.290581408,6,3407.448606,291.0008647,299.7749156,191.0837513,177.0014217,3399.61086,3395.05891,3400.368509,74.72616677,204.1200627,11,347,853.2998337,3209.571626
org.apache.tools.ant.taskdefs.Mkdir,1,2,1,1,0,0,1,0,0,3,3,14,0,3,82,0.96655368,4,4172.300684,293.0000019,305.9297305,209.389589,190.0000029,4166.3346,4162.123016,4166.426286,93.63759929,211.2060605,9,23,215.1656873,3847.776524
org.apache.tools.ant.taskdefs.Concat,1,1,1,1,0,0,0,0,0,12,11,64,0,11,581,0.816799704,4,3674.699716,293.0000573,303.4633421,198.4061491,182.0000922,3667.518643,3663.078623,3668.02849,82.56512581,207.6174366,6,51,599.0484833,3463.843807
org.apache.tools.ant.taskdefs.AbstractCvsTask,1,1,1,1,0,0,0,0,0,40,17,99,2,15,855,0.393809386,5,3401.556261,292.0006292,296.4203097,183.2402794,176.0010439,3393.567002,3389.059014,3394.321876,54.7813837,196.7256974,6,29,861.5049831,3201.366636
org.apache.tools.ant.taskdefs.BUnzip2,1,1,1,1,0,0,0,0,0,3,5,24,0,5,163,0.972455693,0,4091.793006,297.0000013,309.7628125,207.5764919,188.000002,4085.328016,4081.110266,4085.514044,92.97311439,211.2060605,6,17,249.40789,3813.519258
org.apache.tools.ant.taskdefs.Checksum,1,1,1,1,0,0,0,0,0,15,11,72,1,10,683,0.847050663,4,3573.033725,293.0000399,302.6962174,197.2308292,182.0000643,3565.647907,3561.087755,3566.118618,80.00624976,205.5650749,6,39,696.5525798,3366.349397
org.apache.tools.ant.taskdefs.Parallel,1,1,1,1,0,0,0,0,0,3,6,21,1,6,146,0.98866506,3,4108.532585,294.0000002,306.8876016,206.6712365,187.0000003,4102.264375,4098.10261,4102.448659,92.65527508,210.2974084,6,43,241.0856766,3821.833496
org.apache.tools.ant.taskdefs.LoadProperties,1,1,1,1,0,0,0,0,0,4,8,39,0,8,200,0.967098417,0,4054.891491,297.0000018,309.4802094,204.435809,185.0000029,4048.229366,4044.090133,4048.555298,91.0933587,210.791366,6,16,264.8666592,3798.038458
org.apache.tools.ant.taskdefs.LoadFile,1,1,1,1,0,0,0,0,0,7,7,36,0,7,261,0.892368018,0,3994.057836,297.0000195,308.6502875,204.0882162,186.0000311,3987.340592,3983.098417,3987.624982,88.54377448,209.5709904,6,67,315.0474358,3747.866304
org.apache.tools.ant.taskdefs.Move,1,1,1,1,0,0,0,0,0,5,11,46,0,11,587,0.868902251,1,3668.959662,296.000029,308.2401661,201.2958022,182.0000472,3661.526048,3657.078752,3662.036728,89.28605714,210.3806075,6,27,609.5376076,3453.354936
org.apache.tools.ant.taskdefs.BZip2,1,1,1,1,0,0,0,0,0,2,5,14,0,5,66,0.993162879,0,4188.543064,297.0000001,310.0483833,208.0024038,188.0000001,4182.227636,4178.107706,4182.409353,93.92017888,211.6246677,6,24,209.6094315,3853.316498
org.apache.tools.ant.taskdefs.Property,1,4,1,0,1,0,3,0,0,30,12,77,2,10,717,0.057821722,5,3539.066685,292.00152,298.3035367,191.0026178,181.0024522,3531.641262,3527.088601,3532.113956,65.9241989,199.5519982,14,43,728.9363286,3333.96655
org.apache.tools.ant.DirectoryScanner,1,2,1,0,1,0,1,0,0,34,33,67,27,6,1171,0.191052322,25,3085.014263,272.0012029,277.9082582,169.8499338,160.002045,3077.162492,3073.136834,3077.426522,63.95310782,174.5680383,8,99,1179.892285,2883.062716
org.apache.tools.ant.taskdefs.War,1,1,1,0,1,0,0,0,0,9,9,34,0,9,166,0.511234948,4,4088.512321,293.0004077,304.2581141,201.4447815,184.0006492,4082.148944,4078.082883,4082.517361,86.02325267,208.7773934,5,16,243.9438817,3818.95377
org.apache.tools.ant.taskdefs.ExecuteWatchdog,1,1,1,0,1,0,0,0,0,8,8,22,5,3,141,0.888399394,5,4113.377323,292.0000213,303.567126,202.7658748,185.0000337,4107.168611,4103.124785,4107.259183,88.95504483,204.5922775,5,97,237.4019246,3825.54106
org.apache.tools.ant.types.CommandlineJava,1,1,1,0,0,1,0,0,0,27,10,60,1,9,401,0.008988287,13,3853.479596,284.0017291,291.1219676,193.8685121,183.0026833,3847.354676,3843.087951,3847.743495,69.07966416,201.4373352,4,75,428.7367598,3634.165393
org.apache.tools.ant.taskdefs.Tstamp,1,1,1,0,0,1,0,0,0,4,6,22,1,6,142,0.970704995,5,4112.379846,292.0000015,304.6850833,206.2474242,187.0000023,4106.260221,4102.10251,4106.444326,91.70605214,209.8809186,4,57,237.8867676,3825.032313
org.apache.tools.ant.AntClassLoader,1,4,1,0,0,0,3,1,0,42,20,115,14,8,1369,0.208178051,22,2888.122227,275.00114,279.3313445,179.8054504,173.0018121,2880.20034,2875.12678,2880.50499,55.94640292,184.6212339,11,35,1371.252335,2691.69223
org.apache.tools.ant.types.AbstractFileSet,1,2,1,0,0,0,2,0,0,41,52,102,26,26,698,0.017387141,17,3557.037531,280.0017242,284.4292531,149.6028075,141.0034238,3548.802192,3546.011421,3549.883378,50.80354318,173.3666635,6,196,707.1338226,3355.687391
org.apache.tools.ant.util.FileUtils,1,2,1,0,0,0,2,0,0,29,28,120,25,6,1348,0.489026131,30,2908.282139,267.0004889,274.1039949,176.2640065,165.0007912,2900.69664,2896.145197,2900.811093,68.44705983,178.1375873,6,245,1350.645447,2712.318736
org.apache.tools.ant.taskdefs.Available,1,2,1,0,0,0,2,0,0,20,14,67,1,13,812,0.002835027,4,3444.484432,293.0016968,301.4796842,192.5668715,179.0027775,3436.664808,3432.070512,3437.310722,74.33034374,203.7694776,6,109,823.9781718,3238.905691
org.apache.tools.ant.taskdefs.ExecuteJava,1,2,1,0,0,0,2,0,0,10,10,47,1,9,329,0.892833719,2,3926.098572,295.0000195,305.9182897,200.124961,183.0000314,3919.274678,3915.086334,3919.656362,85.07055895,207.4656598,6,57,368.1445267,3694.7561
org.apache.tools.ant.IntrospectionHelper,1,2,1,0,0,0,1,1,0,24,25,78,16,21,1203,0.621822276,4,3055.08265,293.0002441,300.5628054,180.8673547,168.0004256,3045.637043,3041.032226,3046.088804,68.44705983,188.3215336,5,370,1209.718475,2853.125019
org.apache.tools.ant.util.CollectionUtils,1,2,1,0,0,0,1,1,0,3,3,12,3,0,90,0.889577594,3,4164.390952,294.0000207,306.8876016,209.389589,190.0000321,4158.342939,4154.147446,4158.297368,94.70480452,208.4826132,5,67,220.2104541,3842.758085
org.apache.tools.ant.types.FilterSet,1,2,1,0,0,0,1,1,0,19,11,61,7,5,503,0.48212159,5,3752.378579,292.0004592,300.7457398,195.7242959,182.0007368,3745.424542,3741.120287,3745.571518,78,198.5170018,5,83,525.1576858,3537.77866
org.apache.tools.ant.taskdefs.XmlProperty,1,1,1,0,0,0,1,0,0,9,4,41,0,4,334,0.523742697,4,3920.962764,293.0003871,304.2581141,206.0218435,189.0006001,3914.565238,3910.122888,3914.711228,87.66413178,208.7773934,3,15,375.2768785,3687.662568
org.apache.tools.ant.types.XMLCatalog,1,1,1,0,0,0,1,0,0,21,10,82,1,9,719,0.057508337,3,3537.239178,294.0015107,302.218464,195.9311103,183.002427,3529.747016,3525.095885,3530.170817,74.67261881,203.4232042,3,277,729.9315407,3332.979017
org.apache.tools.ant.types.PatternSet,1,1,1,0,0,0,1,0,0,21,12,62,7,6,630,0.296945367,3,3625.938775,294.0008406,302.218464,194.0644223,181.0013654,3618.529674,3614.116351,3618.73196,75.76938696,197.8004044,3,152,647.3755777,3415.556683
org.apache.tools.ant.util.JavaEnvUtils,1,1,1,0,0,0,1,0,0,11,15,26,14,2,361,0.893396363,21,3892.796553,276.0000206,287.3604009,195.1512234,178.0000319,3887.077694,3883.140224,3887.077694,86.53900855,195.1512234,3,89,406.7125636,3656.245508
org.apache.tools.ant.taskdefs.Basename,1,1,1,0,0,0,1,0,0,5,5,13,0,5,71,0.918149939,3,4183.343758,294.0000114,306.320094,206.7365473,188.0000178,4177.232696,4173.107835,4177.414631,91.08238029,210.3806075,3,47,212.1739424,3850.752065
org.apache.tools.ant.types.Mapper,1,1,1,0,0,0,1,0,0,11,14,40,5,9,286,0.049913203,8,3968.536884,289.0015617,299.8683044,196.0637651,179.0025214,3962.045558,3958.085396,3962.415046,84.11896338,203.3937069,3,117,334.1124882,3728.787304
org.apache.tools.ant.taskdefs.Java,1,1,1,0,0,0,1,0,0,31,20,103,0,20,673,0.013904354,25,3581.344021,272.0017875,278.5390457,183.109257,173.0028103,3575.188107,3571.031504,3576.157854,61.84658438,201.1566554,3,97,681.0353206,3381.807091
org.apache.tools.ant.types.EnumeratedAttribute,1,0,0,0,0,0,0,0,0,8,46,14,45,1,87,0.966365194,45,4164.631196,252.0000022,265.3167918,168.8135066,147.0000038,4159.598298,4157.13904,4159.598298,89.69392399,168.8135066,0,51,217.853827,3845.105642
org.apache.tools.zip.ZipShort,1,0,0,0,0,0,0,0,0,7,6,8,6,0,89,0.948159828,4,4165.317995,293.0000046,304.8032152,205,187.0000072,4159.205934,4155.14741,4159.161093,91,204.0882162,0,32,223.5218105,3839.446866
org.apache.tools.ant.taskdefs.Delete,1,0,0,0,0,0,0,0,0,21,11,56,0,11,715,0.497562166,7,3540.895508,290.0004352,298.3286778,194.9974359,182.0006935,3533.689998,3529.081609,3534.21915,74,204.3624232,0,20,731.0884959,3331.80709
org.apache.tools.ant.util.regexp.Regexp,1,0,0,0,0,0,0,0,0,1,5,1,3,2,3,1,1,4251.31709,296,309.3800252,208.4322432,188,4245.164897,4241.128388,4245.2093,95.85927185,209.3346603,0,32,212.0218185,3850.928724
org.apache.tools.ant.util.facade.FacadeTaskHelper,1,0,0,0,0,0,0,0,0,8,3,18,2,1,108,0.919590963,3,4146.43606,294.000011,305.4914074,207.3378885,190.000017,4140.36182,4136.139746,4140.36182,89.69392399,207.3378885,0,31,222.8565929,3840.103072
org.apache.tools.ant.types.Path,1,0,0,0,0,0,0,0,0,28,44,96,32,13,1047,0.006091114,79,3204.423973,218.0022657,226.920691,161.7714437,149.0033149,3200.470278,3197.075695,3201.00125,66.73080248,171.9563898,0,443,1053.765108,3009.12446
org.apache.tools.ant.types.selectors.FilenameSelector,1,0,0,0,0,0,0,0,0,8,9,23,4,5,198,0.780515958,7,4056.379667,290.0000831,301.6438297,201.8539076,184.0001309,4050.181724,4046.111219,4050.365416,88.25531145,205.5066909,0,65,274.3331523,3788.594772
org.apache.tools.ant.filters.LineContains,1,0,0,0,0,0,0,0,0,8,6,26,1,5,167,0.903853958,1,4087.731033,296.0000156,307.4166554,204.5922775,187.0000247,4081.286317,4077.110374,4081.471548,88.25531145,208.2546518,0,17,250.5680817,3812.359102
org.apache.tools.ant.util.PackageNameMapper,1,0,0,0,0,0,0,0,0,2,1,6,0,1,20,0.992424242,1,4234.358511,296.0000001,309.0906016,211.6246677,192.0000001,4228.361385,4224.136835,4228.361385,95.27329112,211.6246677,0,15,207.9533462,3855.005737
org.apache.tools.ant.util.regexp.RegexpMatcher,1,0,0,0,0,0,0,0,0,6,7,6,6,1,10,1,4,4244.125941,293,305.0803173,204.5018337,186,4238.083529,4234.136512,4238.083529,91.54780172,204.5018337,0,135,207.2495504,3855.709505
org.apache.tools.zip.AsiExtraField,1,0,0,0,0,0,0,0,0,20,4,42,0,4,376,0.600817058,1,3879.309217,296.0002692,304.3961235,201.8960128,189.0004216,3872.61475,3868.124222,3872.762322,77.47257579,204.7071078,0,95,412.592654,3650.348125
org.apache.tools.ant.taskdefs.Sleep,1,0,0,0,0,0,0,0,0,10,2,20,0,2,130,0.912957371,4,4124.420565,293.0000129,303.9901314,207.4656598,191.0000198,4118.431376,4114.132351,4118.477874,87.46427842,208.3866598,0,66,232.5726706,3830.37863
org.apache.tools.ant.taskdefs.Typedef,1,0,0,0,0,0,0,0,0,2,4,4,0,4,11,0.960957782,0,4243.406415,297.0000026,310.0483833,208.9066777,189.000004,4237.217247,4233.113511,4237.352121,94.24436323,211.6246677,0,35,209.2839796,3853.649854
org.apache.tools.ant.types.DirSet,1,0,0,0,0,0,0,0,0,3,7,8,3,4,27,0.23043239,1,4227.375663,296.0010004,308.804145,205.7668584,186.001592,4221.099975,4217.113942,4221.233232,93.30058949,208.4826132,0,32,206.7727163,3856.161037
org.apache.tools.ant.types.selectors.DependSelector,1,0,0,0,0,0,0,0,0,7,13,25,4,9,201,0.372621625,2,4053.748142,295.0006671,306.7262623,198.6353443,180.0010933,4047.004942,4043.0836,4047.368651,87.93179175,205.9126028,0,112,275.1321347,3787.766246
org.apache.tools.ant.util.DOMElementWriter,1,0,0,0,0,0,0,0,0,8,1,40,1,0,464,0.626927072,5,3791.261531,292.0002383,303.567126,209.1721779,192.0003625,3784.873049,3780.162034,3784.822453,90.0777442,208.2546518,0,62,494.6665112,3568.314288
org.apache.tools.ant.util.GlobPatternMapper,1,0,0,0,0,0,0,0,0,5,3,15,2,1,137,0.955286348,2,4117.581086,295.0000034,307.2800026,208.5569467,190.0000053,4111.392586,4107.140733,4111.392586,92.47702417,208.5569467,0,59,240.6952583,3822.265109
org.apache.tools.ant.taskdefs.Javac,1,0,0,0,0,0,0,0,0,72,27,116,11,18,900,3.02E-05,7,3356.551206,290.001724,290.6217473,167.0838113,166.0030118,3348.11768,3344.043211,3348.894892,25.49509757,181.9945054,0,134,904.5718822,3158.283016
org.apache.tools.ant.types.FileSet,1,0,0,0,0,0,0,0,0,3,30,8,26,4,27,0.23043239,8,4226.891293,289.0010246,302.1009765,185.2376852,163.0018167,4220.14905,4217.113942,4220.265987,93.30058949,187.8829423,0,8,206.9013226,3856.032434
org.apache.tools.ant.taskdefs.Copydir,1,0,0,0,0,0,0,0,0,8,7,37,0,7,277,0.95539769,3,3977.87946,294.0000034,305.4914074,203.6786685,186.0000053,3971.35808,3967.098814,3971.643614,87.59566199,209.1721779,0,33,327.8530301,3735.061068
org.apache.tools.ant.types.selectors.PresentSelector,1,0,0,0,0,0,0,0,0,7,13,25,4,9,199,0.378378469,2,4055.742842,295.0006549,306.7262623,198.6353443,180.0010734,4049.002964,4045.083559,4049.366494,87.93179175,205.9126028,0,97,273.6768545,3789.221492
org.apache.tools.ant.taskdefs.condition.Equals,1,0,0,0,0,0,0,0,0,6,3,11,1,2,74,0.966365194,0,4180.56324,297.0000019,308.9239389,208.146583,190.000003,4174.326293,4170.130573,4174.371929,91.1811384,209.0598001,0,23,215.0862791,3847.864376
org.apache.tools.ant.TaskContainer,1,0,0,0,0,0,0,0,0,1,9,1,8,1,1,1,1,4253.312239,296,309.3800252,204.8316382,184,4246.987756,4243.136222,4246.987756,96.20810777,204.8316382,0,15,212.0037632,3850.955477
org.apache.tools.ant.taskdefs.Untar,1,0,0,0,0,0,0,0,0,3,8,22,0,8,104,0.985638918,1,4150.568154,296.0000003,308.804145,204.8633691,185.0000006,4144.131393,4140.088043,4144.449783,92.04890005,211.2060605,0,51,217.3837139,3845.520218
org.apache.tools.ant.types.selectors.SizeSelector,1,0,0,0,0,0,0,0,0,8,10,28,4,6,365,0.793954727,7,3889.825317,290.0000732,301.6438297,200.9427779,183.000116,3883.314306,3879.108403,3883.553141,87.92041856,205.5066909,0,141,408.9370126,3653.987214
org.apache.tools.ant.taskdefs.FixCRLF,1,0,0,0,0,0,0,0,0,18,12,82,1,12,1238,0.104288088,5,3020.149003,292.0013738,300.9867107,195.1665955,181.0022163,3011.444338,3006.087989,3012.061918,76.53757247,204.4749373,0,115,1243.110728,2819.79222
org.apache.tools.ant.types.selectors.ContainsSelector,1,0,0,0,0,0,0,0,0,7,9,28,4,5,215,0.817801013,7,4039.42335,290.0000572,301.9205193,202.2671501,184.0000902,4033.19935,4029.111689,4033.383815,89.19641248,205.9126028,0,58,283.5363802,3779.391833
org.apache.tools.ant.taskdefs.Input,1,0,0,0,0,0,0,0,0,6,8,19,0,8,88,0.84709419,3,4166.385964,294.0000398,306.0408469,203.5927307,185.0000632,4160.115503,4156.087704,4160.43267,89.18520057,209.9738079,0,43,212.9508102,3849.953012
org.apache.tools.ant.util.JAXPUtils,1,0,0,0,0,0,0,0,0,8,2,21,1,1,89,0.96148752,4,4165.317995,293.0000025,304.5291447,208.2546518,191.0000039,4159.387695,4155.139107,4159.387695,89.69392399,208.2546518,0,16,211.5671884,3851.392035
org.apache.tools.zip.ZipEntry,1,0,0,0,0,0,0,0,0,23,5,68,2,3,462,0.564084289,3,3793.410075,294.0003232,301.7614952,199.919984,188.0005054,3786.669777,3782.135376,3786.7696,75.15317691,201.801883,0,48,483.7251516,3579.227044
org.apache.tools.ant.taskdefs.Echo,1,0,0,0,0,0,0,0,0,7,7,21,0,7,144,0.892809301,3,4110.52746,294.0000195,305.7646153,204.0882162,186.0000309,4104.216856,4100.095609,4104.493148,88.54377448,209.5709904,0,23,239.8547501,3823.056932
org.apache.tools.ant.taskdefs.Replace,1,0,0,0,0,0,0,0,0,22,9,92,2,9,837,0.827746326,4,3419.575705,293.0000506,301.0149498,196.5120861,184.0000806,3411.964976,3407.099206,3412.293803,73.73601562,202.1410399,0,32,844.6687663,3218.245407
org.apache.tools.ant.taskdefs.CVSPass,1,0,0,0,0,0,0,0,0,6,3,30,0,3,1262,0.862854201,1,2996.654802,296.0000318,307.9626601,208.146583,190.0000495,2988.046854,2982.171692,2988.174694,90.82400564,209.9738079,0,75,1273.295383,2789.6973
org.apache.tools.ant.util.DateUtils,1,0,0,0,0,0,0,0,0,7,1,20,1,0,197,0.919102972,7,4057.377108,290.0000113,301.9205193,209.5709904,192.000017,4051.551925,4047.151344,4051.504659,91,208.655218,0,53,275.6049653,3787.365905
org.apache.tools.ant.types.selectors.DepthSelector,1,0,0,0,0,0,0,0,0,7,8,26,4,4,261,0.820359657,7,3993.543414,290.0000556,301.9205193,203.1772625,185.0000872,3987.29407,3983.120636,3987.434388,89.53770156,205.9126028,0,101,320.9272047,3742.010349
org.apache.tools.ant.types.FileList,1,0,0,0,0,0,0,0,0,8,9,31,4,5,181,0.408463985,1,4073.767912,296.0005911,307.4166554,201.8539076,184.0009509,4067.164246,4063.110754,4067.34717,88.25531145,205.5066909,0,99,256.6128835,3806.314488
org.apache.tools.ant.util.StringUtils,1,0,0,0,0,0,0,0,0,6,14,24,14,0,116,0.947994085,7,4138.173993,290.0000047,302.2002647,198.1565038,179.0000076,4131.879112,4128.148374,4131.835912,91.92388155,197.2536438,0,29,221.9762544,3840.992358
org.apache.tools.ant.taskdefs.condition.Contains,1,0,0,0,0,0,0,0,0,5,3,9,1,2,64,0.973742028,0,4190.538032,297.0000012,309.2005821,208.5569467,190.0000018,4184.315954,4180.130261,4184.361481,92.11405973,209.4683747,0,13,213.7705833,3849.180023
org.apache.tools.ant.types.Description,1,0,0,0,0,0,0,0,0,2,3,8,0,3,28,0.984905877,0,4226.448272,297.0000004,310.0483833,209.8118204,190.0000006,4220.279138,4216.12144,4220.369652,94.57801013,211.6246677,0,25,206.8873266,3856.054599
org.apache.tools.ant.taskdefs.Deltree,1,0,0,0,0,0,0,0,0,4,3,17,0,3,152,0.935319349,4,4102.476447,293.0000071,305.6435833,208.9712899,190.000011,4096.408671,4092.12512,4096.501922,92.6984358,210.791366,0,14,247.8785239,3815.064828
org.apache.tools.ant.taskdefs.Taskdef,1,0,0,0,0,0,0,0,0,2,4,4,0,4,11,0.883743323,0,4243.406415,297.0000228,310.0483833,208.9066777,189.0000358,4237.217247,4233.113511,4237.352121,94.24436323,211.6246677,0,45,209.2839796,3853.649854
org.apache.tools.zip.ZipLong,1,0,0,0,0,0,0,0,0,7,2,8,2,0,147,0.948159828,3,4107.535149,294.0000046,305.7646153,208.655218,191.000007,4101.449744,4097.149497,4101.403296,91,207.7402224,0,34,252.1690479,3810.800828
org.apache.tools.ant.types.selectors.BaseSelector,1,0,0,0,0,0,0,0,0,6,15,8,12,3,39,0.916355335,12,4214.647079,285.0000123,297.4054472,197.2536438,178.0000197,4208.765734,4205.121758,4208.850793,90.82400564,199.0602924,0,107,208.7519368,3854.190053
org.apache.tools.ant.taskdefs.GZip,1,0,0,0,0,0,0,0,0,2,4,12,0,4,55,0.993162879,0,4199.515448,297.0000001,310.0483833,208.9066777,189.0000001,4193.261499,4189.114704,4193.397787,94.24436323,211.6246677,0,38,208.3503486,3854.583455
org.apache.tools.ant.taskdefs.GUnzip,1,0,0,0,0,0,0,0,0,3,4,20,0,4,124,0.972455693,0,4130.691104,297.0000013,309.7628125,208.4826132,189.000002,4124.332795,4120.116625,4124.47136,93.30058949,211.2060605,0,29,229.2823215,3833.652163
org.apache.tools.ant.taskdefs.Copyfile,1,0,0,0,0,0,0,0,0,6,5,22,0,5,137,0.908098962,3,4117.509563,294.0000144,306.0408469,206.322563,188.0000225,4111.300646,4107.109568,4111.485498,90.13878189,209.9738079,0,35,234.9165481,3828.010153
org.apache.tools.ant.types.selectors.DateSelector,1,0,0,0,0,0,0,0,0,11,11,38,4,7,391,0.796204566,7,3863.898161,290.0000716,300.8321791,198.8064385,182.0001141,3857.296074,3853.101738,3857.583829,84.7584804,204.3134846,0,171,428.0721748,3634.844817
org.apache.tools.ant.taskdefs.Dirname,1,0,0,0,0,0,0,0,0,4,5,9,0,5,48,0.954733503,3,4206.287199,294.0000035,306.6023483,207.1545317,188.0000054,4200.209519,4196.107244,4200.390458,92.0271699,210.791366,0,34,209.5390779,3853.386849
org.apache.tools.ant.taskdefs.Rename,1,0,0,0,0,0,0,0,0,5,4,17,0,4,99,0.932106487,3,4155.413457,294.0000078,306.320094,207.6463339,189.0000122,4149.306689,4145.115921,4149.444421,91.41662868,210.3806075,0,20,219.496531,3843.437634
org.apache.tools.ant.util.facade.ImplementationSpecificArgument,1,0,0,0,0,0,0,0,0,3,6,6,5,1,25,0.981175173,2,4229.300888,295.0000006,307.8457406,206.6712365,187.0000009,4223.142195,4219.136997,4223.142195,94.33981132,206.6712365,0,29,208.5172625,3854.441842
org.apache.tools.ant.types.Commandline,1,0,0,0,0,0,0,0,0,28,31,57,29,4,602,0.477310449,63,3649.509556,234.0005838,242.3324163,173.8188712,162.0008432,3645.601185,3642.131931,3645.645759,70.21395873,174.7512518,0,91,622.4700774,3440.478731
org.apache.tools.zip.ExtraFieldUtils,1,0,0,0,0,0,0,0,0,8,4,39,1,3,377,0.877327161,1,3878.312133,296.0000254,307.4166554,206.4218981,189.0000398,3871.615942,3867.1324,3871.714091,88.95504483,208.2546518,0,71,414.796329,3648.153164
org.apache.tools.ant.taskdefs.Filter,1,0,0,0,0,0,0,0,0,6,6,16,0,6,95,0.892567169,4,4159.332879,293.0000197,305.0803173,205.4117816,187.0000309,4153.21201,4149.101348,4153.44014,89.81091248,209.9738079,0,70,218.6277352,3844.290794
org.apache.tools.ant.types.FlexInteger,1,0,0,0,0,0,0,0,0,3,0,7,0,0,19,0.977444469,0,4235.426071,297.0000009,309.7628125,212.1155346,193.0000013,4229.405868,4225.144968,4229.360354,94.70480452,211.2060605,0,34,206.8643373,3856.10365
org.apache.tools.ant.taskdefs.DependSet,1,0,0,0,0,0,0,0,0,6,10,33,0,10,511,0.923539654,3,3744.559387,294.0000099,306.0408469,201.7771047,183.000016,3737.482843,3733.083712,3737.934323,88.60022573,209.9738079,0,30,541.1312633,3521.766617
